Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NC_000962.3	791831	792160		plus	mycofactocin system protein MftB		888285	protein-coding			NP_215206.1	mycofactocin system protein MftB	109	Rv0692
NC_000962.3	792157	793332		plus	mycofactocin radical SAM maturase MftC		888302	protein-coding			NP_215207.1	mycofactocin radical SAM maturase MftC	391	Rv0693
NC_000962.3	793335	794525		plus	mycofactocin system heme/flavin oxidoreductase MftD		888310	protein-coding			NP_215208.1	mycofactocin system heme/flavin oxidoreductase MftD	396	Rv0694
NC_000962.3	794715	795470		plus	mycofactocin system creatinine amidohydrolase family protein MftE		888314	protein-coding			NP_215209.1	mycofactocin system creatinine amidohydrolase family protein MftE	251	Rv0695
NC_000962.3	795519	796931		plus	mycofactocin biosynthesis glycosyltransferase MftF		888307	protein-coding			NP_215210.1	mycofactocin biosynthesis glycosyltransferase MftF	470	Rv0696
NC_000962.3	796933	798372		plus	dehydrogenase		888316	protein-coding			NP_215211.1	dehydrogenase	479	Rv0697
NC_000962.3	798833	799444		plus	hypothetical protein		888327	protein-coding			NP_215212.1	hypothetical protein	203	Rv0698
NC_000962.3	799629	799850		plus	hypothetical protein		888335	protein-coding			NP_215213.1	hypothetical protein	73	Rv0699
NC_000962.3	800487	800792		plus	30S ribosomal protein S10	rpsJ	888331	protein-coding			NP_215214.1	30S ribosomal protein S10	101	Rv0700
NC_000962.3	800809	801462		plus	50S ribosomal protein L3	rplC	888343	protein-coding			NP_215215.1	50S ribosomal protein L3	217	Rv0701
NC_000962.3	801462	802133		plus	50S ribosomal protein L4	rplD	888345	protein-coding			NP_215216.1	50S ribosomal protein L4	223	Rv0702
NC_000962.3	802133	802435		plus	50S ribosomal protein L23	rplW	888353	protein-coding			NP_215217.1	50S ribosomal protein L23	100	Rv0703
NC_000962.3	802528	803370		plus	50S ribosomal protein L2	rplB	888341	protein-coding			NP_215218.1	50S ribosomal protein L2	280	Rv0704
NC_000962.3	803411	803692		plus	30S ribosomal protein S19	rpsS	888356	protein-coding			NP_215219.1	30S ribosomal protein S19	93	Rv0705
NC_000962.3	803689	804282		plus	50S ribosomal protein L22	rplV	888359	protein-coding			NP_215220.1	50S ribosomal protein L22	197	Rv0706
NC_000962.3	804282	805106		plus	30S ribosomal protein S3	rpsC	888357	protein-coding			NP_215221.1	30S ribosomal protein S3	274	Rv0707
NC_000962.3	805110	805526		plus	50S ribosomal protein L16	rplP	888377	protein-coding			NP_215222.1	50S ribosomal protein L16	138	Rv0708
NC_000962.3	805526	805759		plus	50S ribosomal protein L29	rpmC	888374	protein-coding			NP_215223.1	50S ribosomal protein L29	77	Rv0709
NC_000962.3	805756	806166		plus	30S ribosomal protein S17	rpsQ	888391	protein-coding			NP_215224.1	30S ribosomal protein S17	136	Rv0710
NC_000962.3	806335	808698		plus	arylsulfatase AtsA	atsA	888394	protein-coding			NP_215225.1	arylsulfatase AtsA	787	Rv0711
NC_000962.3	808746	809645		plus	hypothetical protein		888346	protein-coding			NP_215226.1	hypothetical protein	299	Rv0712
NC_000962.3	809946	810887		plus	transmembrane protein		888405	protein-coding			NP_215227.1	transmembrane protein	313	Rv0713
NC_000962.3	811373	811741		plus	50S ribosomal protein L14	rplN	888411	protein-coding			NP_215228.1	50S ribosomal protein L14	122	Rv0714
NC_000962.3	811742	812059		plus	50S ribosomal protein L24	rplX	888421	protein-coding			NP_215229.1	50S ribosomal protein L24	105	Rv0715
NC_000962.3	812059	812622		plus	50S ribosomal protein L5	rplE	888400	protein-coding			NP_215230.1	50S ribosomal protein L5	187	Rv0716
NC_000962.3	812627	812812		plus	30S ribosomal protein S14	rpsN1	888414	protein-coding			YP_177747.1	30S ribosomal protein S14	61	Rv0717
NC_000962.3	812976	813374		plus	30S ribosomal protein S8	rpsH	888424	protein-coding			NP_215232.1	30S ribosomal protein S8	132	Rv0718
NC_000962.3	813398	813937		plus	50S ribosomal protein L6	rplF	888433	protein-coding			NP_215233.1	50S ribosomal protein L6	179	Rv0719
NC_000962.3	813940	814308		plus	50S ribosomal protein L18	rplR	888457	protein-coding			NP_215234.1	50S ribosomal protein L18	122	Rv0720
NC_000962.3	814328	814990		plus	30S ribosomal protein S5	rpsE	888465	protein-coding			NP_215235.1	30S ribosomal protein S5	220	Rv0721
NC_000962.3	814993	815190		plus	50S ribosomal protein L30	rpmD	888505	protein-coding			NP_215236.1	50S ribosomal protein L30	65	Rv0722
NC_000962.3	815190	815630		plus	50S ribosomal protein L15	rplO	888531	protein-coding			NP_215237.1	50S ribosomal protein L15	146	Rv0723
NC_000962.3	815663	817534		plus	protease IV SppA	sppA	888535	protein-coding			NP_215238.1	protease IV SppA	623	Rv0724
NC_000962.3	817539	818444		minus	hypothetical protein		888447	protein-coding			NP_215239.1	hypothetical protein	301	Rv0725c
NC_000962.3	818537	819640		minus	S-adenosylmethionine-dependent methyltransferase		888552	protein-coding			NP_215240.1	S-adenosylmethionine-dependent methyltransferase	367	Rv0726c
NC_000962.3	819843	820499		minus	L-fuculose phosphate aldolase FucA	fucA	888550	protein-coding			NP_215241.1	L-fuculose phosphate aldolase FucA	218	Rv0727c
NC_000962.3	820496	821476		minus	D-3-phosphoglycerate dehydrogenase SerA	serA2	888555	protein-coding			NP_215242.1	D-3-phosphoglycerate dehydrogenase SerA	326	Rv0728c
NC_000962.3	821507	822853		plus	D-xylulose kinase XylB	xylB	888548	protein-coding			NP_215243.1	D-xylulose kinase XylB	448	Rv0729
NC_000962.3	822866	823594		plus	GCN5-like N-acetyltransferase		888558	protein-coding			NP_215244.1	GCN5-like N-acetyltransferase	242	Rv0730
NC_000962.3	823683	824639		minus	S-adenosylmethionine-dependent methyltransferase		888556	protein-coding			NP_215245.1	S-adenosylmethionine-dependent methyltransferase	318	Rv0731c
NC_000962.3	824800	826125		plus	preprotein translocase SecY	secY	888559	protein-coding			NP_215246.1	preprotein translocase SecY	441	Rv0732
NC_000962.3	826122	826667		plus	adenylate kinase	adk	888567	protein-coding			NP_215247.1	adenylate kinase	181	Rv0733
NC_000962.3	826670	827470		plus	methionine aminopeptidase	mapA	888564	protein-coding			YP_177748.1	methionine aminopeptidase	266	Rv0734
NC_000962.3	827543	828076		plus	ECF RNA polymerase sigma factor SigL	sigL	888609	protein-coding			NP_215249.1	ECF RNA polymerase sigma factor SigL	177	Rv0735
NC_000962.3	828140	828892		plus	anti-sigma-L factor RslA	rslA	888611	protein-coding			NP_215250.1	anti-sigma-L factor RslA	250	Rv0736
NC_000962.3	829207	829704		plus	transcriptional regulator		888619	protein-coding			NP_215251.1	transcriptional regulator	165	Rv0737
NC_000962.3	830062	830610		plus	hypothetical protein		888620	protein-coding			NP_215252.1	hypothetical protein	182	Rv0738
NC_000962.3	830855	831661		plus	hypothetical protein		888622	protein-coding			NP_215253.1	hypothetical protein	268	Rv0739
NC_000962.3	831776	832303		plus	hypothetical protein		888638	protein-coding			NP_215254.1	hypothetical protein	175	Rv0740
NC_000962.3	832981	833508		plus	hypothetical protein		888645	protein-coding			YP_177749.1	hypothetical protein	175	Rv0742
NC_000962.3	833886	834443		minus	hypothetical protein		888641	protein-coding			NP_215257.1	hypothetical protein	185	Rv0743c
NC_000962.3	834440	834946		minus	transcriptional regulator		888648	protein-coding			NP_215258.1	transcriptional regulator	168	Rv0744c
NC_000962.3	835154	835681		plus	hypothetical protein		888595	protein-coding			NP_215259.1	hypothetical protein	175	Rv0745
NC_000962.3	835701	838052		plus	PE-PGRS family protein PE_PGRS9	PE_PGRS9	888664	protein-coding			YP_177750.1	PE-PGRS family protein PE_PGRS9	783	Rv0746
NC_000962.3	838451	840856		plus	PE-PGRS family protein PE_PGRS10	PE_PGRS10	888662	protein-coding			YP_177751.1	PE-PGRS family protein PE_PGRS10	801	Rv0747
NC_000962.3	840947	841204		plus	antitoxin VapB31	vapB31	888682	protein-coding			NP_215262.1	antitoxin VapB31	85	Rv0748
NC_000962.3	841228	841656		plus	ribonuclease VapC31	vapC31	888681	protein-coding			NP_215263.1	ribonuclease VapC31	142	Rv0749
NC_000962.3	841737	841874		minus	hypothetical protein		3205052	protein-coding			YP_177632.1	hypothetical protein	45	Rv0749A
NC_000962.3	842033	842278		plus	hypothetical protein		888688	protein-coding			NP_215264.1	hypothetical protein	81	Rv0750
NC_000962.3	842347	843231		minus	3-hydroxyisobutyrate dehydrogenase	mmsB	888658	protein-coding			NP_215265.1	3-hydroxyisobutyrate dehydrogenase	294	Rv0751c
NC_000962.3	843242	844414		minus	acyl-CoA dehydrogenase FadE9	fadE9	888684	protein-coding			NP_215266.1	acyl-CoA dehydrogenase FadE9	390	Rv0752c
NC_000962.3	844421	845953		minus	methylmalonate-semialdehyde dehydrogenase	mmsA	888707	protein-coding			NP_215267.1	methylmalonate-semialdehyde dehydrogenase	510	Rv0753c
NC_000962.3	846159	847913		plus	PE-PGRS family protein PE_PGRS11	PE_PGRS11	888695	protein-coding			YP_177752.1	PE-PGRS family protein PE_PGRS11	584	Rv0754
NC_000962.3	848103	850040		minus	PPE family protein PPE12	PPE12	888708	protein-coding			YP_177753.1	PPE family protein PPE12	645	Rv0755c
NC_000962.3	850642	850713		minus	tRNA-Thr	thrV	2700448	tRNA						Rvnt09
NC_000962.3	850741	851466		minus	hypothetical protein		888730	protein-coding			NP_215270.1	hypothetical protein	241	Rv0756c
NC_000962.3	851608	852351		plus	two component system response transcriptional positive regulator PhoP	phoP	888772	protein-coding			NP_215271.1	two component system response transcriptional positive regulator PhoP	247	Rv0757
NC_000962.3	852396	853853		plus	two component system response sensor kinase PhoR	phoR	888775	protein-coding			NP_215272.1	two component system response sensor kinase PhoR	485	Rv0758
NC_000962.3	853825	854157		minus	hypothetical protein		888776	protein-coding			NP_215273.3	hypothetical protein	110	Rv0759c
NC_000962.3	854267	854686		minus	hypothetical protein		888784	protein-coding			NP_215274.1	hypothetical protein	139	Rv0760c
NC_000962.3	854699	855826		minus	alcohol dehydrogenase B	adhB	888738	protein-coding			YP_177754.1	alcohol dehydrogenase B	375	Rv0761c
NC_000962.3	855925	856470		minus	hypothetical protein		888807	protein-coding			NP_215276.1	hypothetical protein	181	Rv0762c
NC_000962.3	856473	856679		minus	ferredoxin		888814	protein-coding			NP_215277.1	ferredoxin	68	Rv0763c
NC_000962.3	856682	858037		minus	lanosterol 14-alpha demethylase	cyp51	888819	protein-coding			NP_215278.1	lanosterol 14-alpha demethylase	451	Rv0764c
NC_000962.3	858037	858864		minus	oxidoreductase		888793	protein-coding			NP_215279.1	oxidoreductase	275	Rv0765c
NC_000962.3	858864	860072		minus	cytochrome P450 Cyp123	cyp123	888834	protein-coding			NP_215280.1	cytochrome P450 Cyp123	402	Rv0766c
NC_000962.3	860069	860710		minus	HTH-type transcriptional regulator		888833	protein-coding			NP_215281.1	HTH-type transcriptional regulator	213	Rv0767c
NC_000962.3	860912	862381		plus	aldehyde dehydrogenase AldA	aldA	888832	protein-coding			NP_215282.1	aldehyde dehydrogenase AldA	489	Rv0768
NC_000962.3	862412	863158		plus	oxidoreductase		888837	protein-coding			NP_215283.1	oxidoreductase	248	Rv0769
NC_000962.3	863256	864143		plus	oxidoreductase		888868	protein-coding			NP_215284.1	oxidoreductase	295	Rv0770
NC_000962.3	864140	864574		plus	4-carboxymuconolactone decarboxylase		888872	protein-coding			NP_215285.1	4-carboxymuconolactone decarboxylase	144	Rv0771
NC_000962.3	864586	865854		plus	phosphoribosylamine--glycine ligase	purD	888873	protein-coding			NP_215286.1	phosphoribosylamine--glycine ligase	422	Rv0772
NC_000962.3	865851	867389		minus	bifunctional cephalosporin acylase/gamma-glutamyltranspeptidase	ggtA	888893	protein-coding			NP_215287.1	bifunctional cephalosporin acylase/gamma-glutamyltranspeptidase	512	Rv0773c
NC_000962.3	867440	868351		minus	hypothetical protein		888895	protein-coding			NP_215288.2	hypothetical protein	303	Rv0774c
NC_000962.3	868407	869030		plus	hypothetical protein		888899	protein-coding			NP_215289.1	hypothetical protein	207	Rv0775
NC_000962.3	868984	869763		minus	hypothetical protein		888918	protein-coding			NP_215290.1	hypothetical protein	259	Rv0776c
NC_000962.3	870008	871426		plus	adenylosuccinate lyase PurB	purB	888929	protein-coding			NP_215291.1	adenylosuccinate lyase PurB	472	Rv0777
NC_000962.3	871431	872675		plus	cytochrome P450 Cyp126	cyp126	888913	protein-coding			NP_215292.1	cytochrome P450 Cyp126	414	Rv0778
NC_000962.3	872672	873292		minus	transmembrane protein		888941	protein-coding			NP_215293.1	transmembrane protein	206	Rv0779c
NC_000962.3	873343	874236		plus	phosphoribosylaminoimidazole-succinocarboxamide synthase	purC	888928	protein-coding			NP_215294.1	phosphoribosylaminoimidazole-succinocarboxamide synthase	297	Rv0780
NC_000962.3	876818	878440		minus	multidrug resistance protein EmrB	emrB	885836	protein-coding			NP_215297.1	multidrug resistance protein EmrB	540	Rv0783c
NC_000962.3	878638	879324		plus	hypothetical protein		885863	protein-coding			NP_215298.1	hypothetical protein	228	Rv0784
NC_000962.3	879340	881040		plus	KsdD-like steroid dehydrogenase		885864	protein-coding			NP_215299.1	KsdD-like steroid dehydrogenase	566	Rv0785
NC_000962.3	881075	881713		minus	hypothetical protein		885615	protein-coding			NP_215300.2	hypothetical protein	212	Rv0786c
NC_000962.3	881459	882418		plus	hypothetical protein		885468	protein-coding			NP_215301.1	hypothetical protein	319	Rv0787
NC_000962.3	882524	882763		plus	hypothetical protein		886264	protein-coding			YP_177755.1	hypothetical protein	79	Rv0787A
NC_000962.3	882760	883434		plus	phosphoribosylformylglycinamidine synthase	purQ	885181	protein-coding			NP_215303.1	phosphoribosylformylglycinamidine synthase	224	Rv0788
NC_000962.3	883451	884050		minus	hypothetical protein		885153	protein-coding			NP_215304.1	hypothetical protein	199	Rv0789c
NC_000962.3	884072	884800		minus	hypothetical protein		885253	protein-coding			NP_215305.1	hypothetical protein	242	Rv0790c
NC_000962.3	884797	885840		minus	hypothetical protein		885273	protein-coding			NP_215306.1	hypothetical protein	347	Rv0791c
NC_000962.3	885837	886646		minus	transcriptional regulator		885142	protein-coding			NP_215307.1	transcriptional regulator	269	Rv0792c
NC_000962.3	886719	887024		plus	monooxygenase		885497	protein-coding			NP_215308.1	monooxygenase	101	Rv0793
NC_000962.3	887137	888636		minus	oxidoreductase		885076	protein-coding			YP_177756.1	oxidoreductase	499	Rv0794c
NC_000962.3	890388	891482		plus	insertion sequence element IS1547 transposase		885476	protein-coding			NP_215312.1	insertion sequence element IS1547 transposase	364	Rv0797
NC_000962.3	891472	892269		minus	hypothetical protein	cfp29	885460	protein-coding			NP_215313.1	hypothetical protein	265	Rv0798c
NC_000962.3	892266	893273		minus	hypothetical protein		885388	protein-coding			NP_215314.1	hypothetical protein	335	Rv0799c
NC_000962.3	893318	894619		plus	M18 family aminopeptidase	pepC	885461	protein-coding			NP_215315.1	M18 family aminopeptidase	433	Rv0800
NC_000962.3	894631	894978		plus	hypothetical protein		885376	protein-coding			NP_215316.1	hypothetical protein	115	Rv0801
NC_000962.3	894972	895628		minus	succinyl-CoA transferase		885332	protein-coding			NP_215317.1	succinyl-CoA transferase	218	Rv0802c
NC_000962.3	895820	898084		plus	phosphoribosylformylglycinamidine synthase 2	purL	885358	protein-coding			NP_215318.1	phosphoribosylformylglycinamidine synthase 2	754	Rv0803
NC_000962.3	898081	898710		plus	hypothetical protein		885330	protein-coding			NP_215319.1	hypothetical protein	209	Rv0804
NC_000962.3	898831	899787		plus	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA		885326	protein-coding			NP_215320.1	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	318	Rv0805
NC_000962.3	899732	901330		minus	exopolysaccharide phosphotransferase CpsY	cpsY	885243	protein-coding			NP_215321.1	exopolysaccharide phosphotransferase CpsY	532	Rv0806c
NC_000962.3	901635	902024		plus	hypothetical protein		885272	protein-coding			NP_215322.1	hypothetical protein	129	Rv0807
NC_000962.3	902111	903694		plus	amidophosphoribosyltransferase	purF	885085	protein-coding			NP_215323.1	amidophosphoribosyltransferase	527	Rv0808
NC_000962.3	903725	904819		plus	phosphoribosylformylglycinamidine cyclo-ligase PurM	purM	885134	protein-coding			NP_215324.1	phosphoribosylformylglycinamidine cyclo-ligase PurM	364	Rv0809
NC_000962.3	904905	905087		minus	hypothetical protein		885410	protein-coding			NP_215325.1	hypothetical protein	60	Rv0810c
NC_000962.3	905234	906340		minus	hypothetical protein		885401	protein-coding			NP_215326.1	hypothetical protein	368	Rv0811c
NC_000962.3	906423	907292		plus	4-amino-4-deoxychorismate lyase		885397	protein-coding			YP_177757.1	4-amino-4-deoxychorismate lyase	289	Rv0812
NC_000962.3	907338	908018		minus	hypothetical protein		885395	protein-coding			NP_215328.1	hypothetical protein	226	Rv0813c
NC_000962.3	908181	908483		minus	hypothetical protein		885435	protein-coding			NP_215329.1	hypothetical protein	100	Rv0814c
NC_000962.3	908485	909318		minus	thiosulfate sulfurtransferase CysA	cysA2	885449	protein-coding			NP_215330.1	thiosulfate sulfurtransferase CysA	277	Rv0815c
NC_000962.3	909611	910033		minus	thioredoxin ThiX	thiX	885087	protein-coding			NP_215331.1	thioredoxin ThiX	140	Rv0816c
NC_000962.3	910030	910842		minus	hypothetical protein		885440	protein-coding			NP_215332.1	hypothetical protein	270	Rv0817c
NC_000962.3	910972	911739		plus	transcriptional regulator		885144	protein-coding			NP_215333.1	transcriptional regulator	255	Rv0818
NC_000962.3	911736	912683		plus	mycothiol acetyltransferase	mshD	885251	protein-coding			NP_215334.1	mycothiol acetyltransferase	315	Rv0819
NC_000962.3	912726	913502		plus	phosphate ABC transporter ATP-binding protein PhoT	phoT	885136	protein-coding			NP_215335.1	phosphate ABC transporter ATP-binding protein PhoT	258	Rv0820
NC_000962.3	913558	914199		minus	phosphate-transport system transcriptional regulator PhoY2	phoY2	885270	protein-coding			NP_215336.1	phosphate-transport system transcriptional regulator PhoY2	213	Rv0821c
NC_000962.3	914257	916311		minus	hypothetical protein		885374	protein-coding			NP_215337.1	hypothetical protein	684	Rv0822c
NC_000962.3	916477	917646		minus	tRNA-dihydrouridine synthase		885380	protein-coding			NP_215338.1	tRNA-dihydrouridine synthase	389	Rv0823c
NC_000962.3	917734	918750		minus	acyl-ACP desaturase DesA	desA1	885444	protein-coding			YP_177758.1	acyl-ACP desaturase DesA	338	Rv0824c
NC_000962.3	918264	918458		plus	Putative small regulatory RNA	ASdes	14515884	ncRNA						RVnc0002
NC_000962.3	918912	919553		minus	hypothetical protein		885354	protein-coding			NP_215340.1	hypothetical protein	213	Rv0825c
NC_000962.3	919634	920689		plus	hypothetical protein		885360	protein-coding			NP_215341.1	hypothetical protein	351	Rv0826
NC_000962.3	920741	921133		minus	HTH-type transcriptional regulator KmtR	kmtR	885375	protein-coding			NP_215342.1	HTH-type transcriptional regulator KmtR	130	Rv0827c
NC_000962.3	921191	921613		minus	deaminase		885265	protein-coding			NP_215343.1	deaminase	140	Rv0828c
NC_000962.3	921970	922875		plus	S-adenosylmethionine-dependent methyltransferase		885886	protein-coding			NP_215345.1	S-adenosylmethionine-dependent methyltransferase	301	Rv0830
NC_000962.3	922894	923709		minus	hypothetical protein		885349	protein-coding			NP_215346.1	hypothetical protein	271	Rv0831c
NC_000962.3	923803	923875		minus	tRNA-Lys	lysT	2700435	tRNA						Rvnt10
NC_000962.3	923999	924072		plus	tRNA-Glu	gluT	2700445	tRNA						Rvnt11
NC_000962.3	924110	924183		plus	tRNA-Asp	aspT	2700454	tRNA						Rvnt12
NC_000962.3	924213	924286		plus	tRNA-Phe	pheU	2700446	tRNA						Rvnt13
NC_000962.3	924951	925364		plus	PE-PGRS family protein PE_PGRS12	PE_PGRS12	885236	protein-coding			YP_177759.1	PE-PGRS family protein PE_PGRS12	137	Rv0832
NC_000962.3	925361	927610		plus	PE-PGRS family protein PE_PGRS13	PE_PGRS13	885391	protein-coding			YP_177760.1	PE-PGRS family protein PE_PGRS13	749	Rv0833
NC_000962.3	927837	930485		minus	PE-PGRS family protein PE_PGRS14	PE_PGRS14	885369	protein-coding			YP_177761.1	PE-PGRS family protein PE_PGRS14	882	Rv0834c
NC_000962.3	930953	931597		plus	lipoprotein LpqQ	lpqQ	885883	protein-coding			NP_215350.1	lipoprotein LpqQ	214	Rv0835
NC_000962.3	932279	932932		minus	hypothetical protein		885356	protein-coding			NP_215351.1	hypothetical protein	217	Rv0836c
NC_000962.3	933003	934031		minus	hypothetical protein		885109	protein-coding			NP_215352.1	hypothetical protein	342	Rv0837c
NC_000962.3	934720	935490		plus	lipoprotein LpqR	lpqR	885417	protein-coding			NP_215353.1	lipoprotein LpqR	256	Rv0838
NC_000962.3	935577	936389		plus	hypothetical protein		885255	protein-coding			NP_215354.1	hypothetical protein	270	Rv0839
NC_000962.3	936457	937317		minus	proline iminopeptidase	pip	885611	protein-coding			NP_215355.1	proline iminopeptidase	286	Rv0840c
NC_000962.3	937593	937835		plus	transmembrane protein		3205068	protein-coding			YP_177634.1	transmembrane protein	80	Rv0841
NC_000962.3	938112	939404		plus	integral membrane protein		885616	protein-coding			NP_215357.1	integral membrane protein	430	Rv0842
NC_000962.3	939388	940392		plus	dehydrogenase		885554	protein-coding			NP_215358.1	dehydrogenase	334	Rv0843
NC_000962.3	940456	941106		minus	nitrate/nitrite response transcriptional regulator NarL	narL	885603	protein-coding			NP_215359.1	nitrate/nitrite response transcriptional regulator NarL	216	Rv0844c
NC_000962.3	941190	942467		plus	sensor histidine kinase NarS		885218	protein-coding			NP_215360.1	sensor histidine kinase NarS	425	Rv0845
NC_000962.3	942680	944194		minus	oxidase		885207	protein-coding			NP_215361.1	oxidase	504	Rv0846c
NC_000962.3	944343	944735		plus	lipoprotein LpqS	lpqS	885051	protein-coding			NP_215362.1	lipoprotein LpqS	130	Rv0847
NC_000962.3	944938	946056		plus	cysteine synthase CysK	cysK2	885545	protein-coding			YP_177762.1	cysteine synthase CysK	372	Rv0848
NC_000962.3	946056	947315		plus	MFS-type transporter		885111	protein-coding			NP_215364.1	MFS-type transporter	419	Rv0849
NC_000962.3	947641	948468		minus	short-chain type dehydrogenase/reductase		885550	protein-coding			NP_215366.1	short-chain type dehydrogenase/reductase	275	Rv0851c
NC_000962.3	948757	949395		plus	hypothetical protein		885044	protein-coding			NP_215367.2	hypothetical protein	212	Rv0852
NC_000962.3	949436	951118		minus	alpha-keto-acid decarboxylase	pdc	885576	protein-coding			NP_215368.1	alpha-keto-acid decarboxylase	560	Rv0853c
NC_000962.3	951183	951626		plus	hypothetical protein		885127	protein-coding			NP_215369.1	hypothetical protein	147	Rv0854
NC_000962.3	951632	952711		plus	fatty-acid-CoA racemase	far	885790	protein-coding			NP_215370.1	fatty-acid-CoA racemase	359	Rv0855
NC_000962.3	952825	953229		plus	hypothetical protein		885783	protein-coding			NP_215371.1	hypothetical protein	134	Rv0856
NC_000962.3	953257	953730		plus	hypothetical protein		885078	protein-coding			NP_215372.2	hypothetical protein	157	Rv0857
NC_000962.3	953727	954920		minus	N-succinyldiaminopimelate aminotransferase DapC	dapC	885784	protein-coding			NP_215373.1	N-succinyldiaminopimelate aminotransferase DapC	397	Rv0858c
NC_000962.3	955077	956288		plus	acyltransferase		885774	protein-coding			NP_215374.1	acyltransferase	403	Rv0859
NC_000962.3	956293	958455		plus	fatty oxidation protein FadB	fadB	885799	protein-coding			NP_215375.1	fatty oxidation protein FadB	720	Rv0860
NC_000962.3	958523	960151		minus	DNA helicase Ercc3	ercc3	885425	protein-coding			NP_215376.3	DNA helicase Ercc3	542	Rv0861c
NC_000962.3	960342	962612		minus	hypothetical protein		885413	protein-coding			NP_215377.1	hypothetical protein	756	Rv0862c
NC_000962.3	962599	962880		plus	hypothetical protein		885423	protein-coding			NP_215378.2	hypothetical protein	66	Rv0863
NC_000962.3	962890	963393		plus	cyclic pyranopterin monophosphate synthase accessory protein	moaC2	885826	protein-coding			NP_215379.1	cyclic pyranopterin monophosphate synthase accessory protein	167	Rv0864
NC_000962.3	963390	963872		plus	molybdopterin biosynthesis protein	mog	885348	protein-coding			NP_215380.1	molybdopterin biosynthesis protein	160	Rv0865
NC_000962.3	963869	964294		plus	molybdopterin synthase catalytic subunit 2	moaE2	885431	protein-coding			NP_215381.1	molybdopterin synthase catalytic subunit 2	141	Rv0866
NC_000962.3	964312	965535		minus	resuscitation-promoting factor RpfA	rpfA	885749	protein-coding			NP_215382.1	resuscitation-promoting factor RpfA	407	Rv0867c
NC_000962.3	965983	966261		minus	cyclic pyranopterin monophosphate synthase	moaD2	885763	protein-coding			NP_215383.1	cyclic pyranopterin monophosphate synthase	92	Rv0868c
NC_000962.3	966265	967347		minus	molybdenum cofactor biosynthesis protein MoaA	moaA2	885773	protein-coding			NP_215384.1	molybdenum cofactor biosynthesis protein MoaA	360	Rv0869c
NC_000962.3	967344	967733		minus	integral membrane protein		885709	protein-coding			NP_215385.1	integral membrane protein	129	Rv0870c
NC_000962.3	967898	968305		plus	cold shock-like protein CspB	cspB	885725	protein-coding			NP_215386.1	cold shock-like protein CspB	135	Rv0871
NC_000962.3	968424	970244		minus	PE-PGRS family protein PE_PGRS15	PE_PGRS15	885742	protein-coding			YP_177763.1	PE-PGRS family protein PE_PGRS15	606	Rv0872c
NC_000962.3	970505	972457		plus	acyl-CoA dehydrogenase	fadE10	885636	protein-coding			NP_215388.1	acyl-CoA dehydrogenase	650	Rv0873
NC_000962.3	972546	973706		minus	hypothetical protein		885658	protein-coding			NP_215389.1	hypothetical protein	386	Rv0874c
NC_000962.3	973806	974294		minus	hypothetical protein		885669	protein-coding			NP_215390.1	hypothetical protein	162	Rv0875c
NC_000962.3	974291	975937		minus	transmembrane protein		885562	protein-coding			NP_215391.1	transmembrane protein	548	Rv0876c
NC_000962.3	976075	976863		plus	hypothetical protein		885601	protein-coding			NP_215392.1	hypothetical protein	262	Rv0877
NC_000962.3	976872	978203		minus	PPE family protein PPE13	PPE13	885617	protein-coding			YP_177764.1	PPE family protein PPE13	443	Rv0878c
NC_000962.3	978481	978756		minus	transmembrane protein		885095	protein-coding			NP_215394.1	transmembrane protein	91	Rv0879c
NC_000962.3	978934	979365		plus	HTH-type transcriptional regulator		885205	protein-coding			NP_215395.1	HTH-type transcriptional regulator	143	Rv0880
NC_000962.3	979362	980228		plus	tRNA/rRNA methyltransferase		885121	protein-coding			NP_215396.1	tRNA/rRNA methyltransferase	288	Rv0881
NC_000962.3	980225	980509		plus	transmembrane protein		885248	protein-coding			NP_215397.1	transmembrane protein	94	Rv0882
NC_000962.3	980506	981267		minus	hypothetical protein		885139	protein-coding			NP_215398.1	hypothetical protein	253	Rv0883c
NC_000962.3	981424	982554		minus	phosphoserine aminotransferase	serC	885140	protein-coding			NP_215399.1	phosphoserine aminotransferase	376	Rv0884c
NC_000962.3	982762	983784		plus	hypothetical protein		885285	protein-coding			NP_215400.1	hypothetical protein	340	Rv0885
NC_000962.3	983803	985530		plus	ferredoxin/ferredoxin--NADP reductase	fprB	885195	protein-coding			NP_215401.1	ferredoxin/ferredoxin--NADP reductase	575	Rv0886
NC_000962.3	985513	985971		minus	hypothetical protein		885113	protein-coding			NP_215402.1	hypothetical protein	152	Rv0887c
NC_000962.3	987233	988705		plus	hypothetical protein		885210	protein-coding			NP_215403.1	hypothetical protein	490	Rv0888
NC_000962.3	988740	989861		minus	citrate synthase 2	citA	885466	protein-coding			NP_215404.1	citrate synthase 2	373	Rv0889c
NC_000962.3	989948	992596		minus	HTH-type transcriptional regulator		885227	protein-coding			NP_215405.1	HTH-type transcriptional regulator	882	Rv0890c
NC_000962.3	992598	993455		minus	hypothetical protein		885493	protein-coding			NP_215406.1	hypothetical protein	285	Rv0891c
